ProductID,Date,SalesVolume,SalesValue,Store
lUpC-3603,2022-01-01,0,0.0,Coop Campania
Khkv-1795,2022-01-01,10,2098.37,Coop Marche
FShv-2600,2022-01-01,4,3516.63,Coop Lombardia
rzrI-3299,2022-01-01,1,1071.45,Coop Marche
pKaS-9831,2022-01-01,4,3821.74,Coop Lombardia
WhnD-0432,2022-01-01,0,0.0,Coop Marche
mBRR-5424,2022-01-01,3,2259.35,Coop Marche
xkPq-0171,2022-01-01,0,0.0,Coop Lombardia
liSY-0023,2022-01-01,5,2715.49,Coop Lombardia
BrGn-0164,2022-01-01,7,3901.61,Coop Campania
whBR-0415,2022-01-01,8,2555.75,Coop Lazio
pDAs-8628,2022-01-01,2,1973.57,Coop Marche
fPsc-0317,2022-01-01,5,5129.62,Coop Marche
LqGH-0114,2022-01-01,5,2112.42,Coop Campania
KDSR-5597,2022-01-01,0,0.0,Coop Marche
NLDb-9765,2022-01-01,6,7049.58,Coop Campania
TWKK-1058,2022-01-01,0,0.0,Coop Lazio
dAbA-6278,2022-01-01,2,262.37,Coop Marche
zcKB-4196,2022-01-01,8,4963.78,Coop Campania
AoYT-7535,2022-01-01,1,484.01,Coop Lombardia
JzOi-6456,2022-01-01,9,9217.05,Coop Lombardia
dbTT-5467,2022-01-01,0,0.0,Coop Lombardia
bDht-6829,2022-01-01,8,4633.18,Coop Campania
bEQP-7444,2022-01-01,6,966.78,Coop Campania
LAOd-9346,2022-01-01,0,0.0,Coop Lazio
binr-9295,2022-01-01,7,6285.6,Coop Lombardia
ipsu-5499,2022-01-01,4,1205.49,Coop Marche
xJTd-1778,2022-01-01,2,1088.55,Coop Lazio
OLQP-3993,2022-01-01,8,8769.96,Coop Campania
JOcL-9472,2022-01-01,8,8480.35,Coop Marche
JLXS-4481,2022-01-01,1,55.67,Coop Lombardia
gRAQ-7528,2022-01-01,8,4957.87,Coop Campania
Asit-5581,2022-01-01,3,1275.36,Coop Marche
mkIs-7680,2022-01-01,2,1243.26,Coop Marche
NqgK-1369,2022-01-01,7,4807.08,Coop Lombardia
HWfy-5370,2022-01-01,9,6509.75,Coop Campania
VCMi-1172,2022-01-01,9,8975.23,Coop Marche
vhQC-2551,2022-01-01,2,784.62,Coop Lazio
qaRS-5467,2022-01-01,2,330.55,Coop Marche
KGrK-9665,2022-01-01,3,1837.49,Coop Marche
MOnY-5528,2022-01-01,4,2370.72,Coop Marche
VDgg-1734,2022-01-01,8,581.36,Coop Campania
WaVU-9644,2022-01-01,8,4823.36,Coop Campania
kvMN-3932,2022-01-01,0,0.0,Coop Campania
Ywep-4918,2022-01-01,9,3215.4,Coop Lombardia
NMVA-0446,2022-01-01,5,91.99,Coop Campania
rWhG-2645,2022-01-01,0,0.0,Coop Campania
YDqh-0861,2022-01-01,0,0.0,Coop Marche
VMJd-6098,2022-01-01,5,4011.96,Coop Lazio
DLAl-3785,2022-01-01,3,1596.21,Coop Campania
aCAT-3934,2022-01-01,1,924.33,Coop Lazio
rTZd-5307,2022-01-01,9,6720.38,Coop Marche
AsUs-5037,2022-01-01,3,2249.93,Coop Lombardia
BSwR-7719,2022-01-01,1,1146.78,Coop Lazio
gFcd-9011,2022-01-01,8,1620.29,Coop Lombardia
uOSO-2603,2022-01-01,3,3645.73,Coop Lombardia
ScHr-5808,2022-01-01,5,871.98,Coop Lombardia
bIZX-1934,2022-01-01,3,2219.57,Coop Lombardia
TEJI-1283,2022-01-01,3,2254.27,Coop Marche
oKDN-5623,2022-01-01,7,3614.73,Coop Campania
xpjy-6558,2022-01-01,4,1094.15,Coop Campania
wTQS-1785,2022-01-01,5,2959.16,Coop Lazio
mYDZ-0691,2022-01-01,9,9338.52,Coop Lombardia
VcLB-4437,2022-01-01,5,3270.61,Coop Lazio
CVZi-6362,2022-01-01,9,4718.28,Coop Marche
Pjid-8127,2022-01-01,6,1628.68,Coop Marche
Tmxd-5901,2022-01-01,9,4768.13,Coop Campania
DUnd-2088,2022-01-01,1,708.66,Coop Marche
DQMK-7381,2022-01-01,2,1067.68,Coop Marche
sKMt-4467,2022-01-01,5,2722.06,Coop Lombardia
OTWH-3978,2022-01-01,2,1867.24,Coop Marche
aJpO-1296,2022-01-01,8,1718.63,Coop Lombardia
VrKY-6162,2022-01-01,6,4566.39,Coop Campania
eIDU-7475,2022-01-01,5,489.61,Coop Lazio
qiRu-7670,2022-01-01,10,8860.95,Coop Lazio
afBm-9573,2022-01-01,0,0.0,Coop Marche
