date_cod;month_name_abb; month_name;month_name_abbr;day_name
2000-01-01;Gen;Gennaio;Sab;Sabato
2000-01-02;Gen;Gennaio;Dom;Domenica
2000-01-03;Gen;Gennaio;Lun;Lunedì
2000-01-04;Gen;Gennaio;Mar;Martedì
2000-01-05;Gen;Gennaio;Mer;Mercoledì
2000-01-06;Gen;Gennaio;Gio;Giovedì
2000-01-07;Gen;Gennaio;Ven;Venerdì
2000-01-08;Gen;Gennaio;Sab;Sabato
2000-01-09;Gen;Gennaio;Dom;Domenica
2000-01-10;Gen;Gennaio;Lun;Lunedì
2000-01-11;Gen;Gennaio;Mar;Martedì
2000-01-12;Gen;Gennaio;Mer;Mercoledì
2000-01-13;Gen;Gennaio;Gio;Giovedì
2000-01-14;Gen;Gennaio;Ven;Venerdì
2000-01-15;Gen;Gennaio;Sab;Sabato
2000-01-16;Gen;Gennaio;Dom;Domenica
2000-01-17;Gen;Gennaio;Lun;Lunedì
2000-01-18;Gen;Gennaio;Mar;Martedì
2000-01-19;Gen;Gennaio;Mer;Mercoledì
2000-01-20;Gen;Gennaio;Gio;Giovedì
2000-01-21;Gen;Gennaio;Ven;Venerdì
2000-01-22;Gen;Gennaio;Sab;Sabato
2000-01-23;Gen;Gennaio;Dom;Domenica
2000-01-24;Gen;Gennaio;Lun;Lunedì
2000-01-25;Gen;Gennaio;Mar;Martedì
2000-01-26;Gen;Gennaio;Mer;Mercoledì
2000-01-27;Gen;Gennaio;Gio;Giovedì
2000-01-28;Gen;Gennaio;Ven;Venerdì
2000-01-29;Gen;Gennaio;Sab;Sabato
2000-01-30;Gen;Gennaio;Dom;Domenica
2000-01-31;Gen;Gennaio;Lun;Lunedì
2000-02-01;Feb;Febbraio;Mar;Martedì
2000-02-02;Feb;Febbraio;Mer;Mercoledì
2000-02-03;Feb;Febbraio;Gio;Giovedì
2000-02-04;Feb;Febbraio;Ven;Venerdì
2000-02-05;Feb;Febbraio;Sab;Sabato
2000-02-06;Feb;Febbraio;Dom;Domenica
2000-02-07;Feb;Febbraio;Lun;Lunedì
2000-02-08;Feb;Febbraio;Mar;Martedì
2000-02-09;Feb;Febbraio;Mer;Mercoledì
2000-02-10;Feb;Febbraio;Gio;Giovedì
2000-02-11;Feb;Febbraio;Ven;Venerdì
2000-02-12;Feb;Febbraio;Sab;Sabato
2000-02-13;Feb;Febbraio;Dom;Domenica
2000-02-14;Feb;Febbraio;Lun;Lunedì
2000-02-15;Feb;Febbraio;Mar;Martedì
2000-02-16;Feb;Febbraio;Mer;Mercoledì
2000-02-17;Feb;Febbraio;Gio;Giovedì
2000-02-18;Feb;Febbraio;Ven;Venerdì
2000-02-19;Feb;Febbraio;Sab;Sabato
2000-02-20;Feb;Febbraio;Dom;Domenica
2000-02-21;Feb;Febbraio;Lun;Lunedì
