ProductID,ProductName,Category,Type,Price,Stock,LeadTime,ManagedBy
lUpC-3603,IKEA Table,Furniture,Chair,276.33,123,3,IT
Khkv-1795,Lego Set,Toys,Toy,190.53,165,9,UE
FShv-2600,To Kill a Mockingbird,Books,EBook,713.07,39,6,UE
rzrI-3299,IKEA Chair,Furniture,Table,979.52,82,9,IT
pKaS-9831,To Kill a Mockingbird,Books,EBook,791.1,120,5,UE
WhnD-0432,IKEA Table,Furniture,Table,401.21,173,7,IT
mBRR-5424,Samsung Galaxy S21,Electronics,TV,607.38,196,2,IT
xkPq-0171,Samsung Galaxy S21,Electronics,Hi-tech,747.84,44,2,IT
liSY-0023,The Great Gatsby,Books,EBook,509.99,10,4,IT
BrGn-0164,Bookshelf,Furniture,Table,467.45,135,6,IT
whBR-0415,The Great Gatsby,Books,EBook,303.39,151,10,IT
pDAs-8628,IKEA Table,Furniture,Table,917.39,70,5,IT
fPsc-0317,IKEA Chair,Furniture,Table,895.11,1,10,IT
LqGH-0114,Barbie Doll,Toys,Toy,380.24,107,8,UE
KDSR-5597,Office Desk,Furniture,Chair,942.94,152,3,IT
NLDb-9765,Zara Dress,Clothing,Jacket,975.79,191,7,IT
TWKK-1058,War and Peace,Books,EBook,900.26,58,6,IT
dAbA-6278,Adidas Sneakers,Clothing,T-Shirt,114.8,196,5,IT
zcKB-4196,War and Peace,Books,EBook,521.32,45,1,UE
AoYT-7535,Hot Wheels,Toys,Toy,431.18,169,3,
JzOi-6456,Nike T-Shirt,Clothing,T-Shirt,882.96,151,1,IT
dbTT-5467,War and Peace,Books,EBook,981.23,194,6,IT
bDht-6829,iPad Pro,Electronics,Smartphone,505.03,180,6,IT
bEQP-7444,IKEA Chair,Furniture,Table,144.03,89,8,IT
LAOd-9346,Adidas Sneakers,Clothing,T-Shirt,386.79,102,8,IT
binr-9295,Samsung Galaxy S21,Electronics,Smartphone,719.73,30,8,IT
ipsu-5499,MacBook Pro,Electronics,Smartphone,248.99,13,5,IT
xJTd-1778,Zara Dress,Clothing,T-Shirt,463.04,128,8,IT
OLQP-3993,War and Peace,Books,EBook,965.69,180,6,IT
JOcL-9472,IKEA Chair,Furniture,Table,967.18,66,5,IT
JLXS-4481,Office Desk,Furniture,Table,45.51,103,5,IT
gRAQ-7528,Sony WH-1000XM4,Electronics,Smartphone,500.12,136,7,IT
Asit-5581,MacBook Pro,Electronics,Hi-tech,369.65,30,6,UE
mkIs-7680,Puzzle,Toys,Toy,570.53,155,8,UE
NqgK-1369,Sofa Set,Furniture,Table,613.58,114,2,IT
HWfy-5370,Zara Dress,Clothing,T-Shirt,647.6,193,4,UE
VCMi-1172,Puzzle,Toys,Toy,858.02,118,6,IT
vhQC-2551,iPhone 13,Electronics,Smartphone,345.4,101,6,UE
qaRS-5467,Better Pro,,T-Shirt,135.29,63,10,UE
KGrK-9665,Nike T-Shirt,Clothing,Jacket,530.95,98,3,IT
MOnY-5528,To Kill a Mockingbird,Books,EBook,486.99,52,2,
VDgg-1734,Mission Plus,,EBook,67.83,29,10,IT
WaVU-9644,iPhone 13,Electronics,TV,488.19,124,1,IT
kvMN-3932,Barbie Doll,Toys,Toy,210.93,181,1,UE
Ywep-4918,Board Game,Toys,Toy,293.72,113,5,IT
NMVA-0446,IKEA Table,Furniture,Table,15.45,69,2,IT
rWhG-2645,Sofa Set,Furniture,Chair,966.15,16,2,IT
YDqh-0861,Samsung Galaxy S21,Electronics,Hi-tech,156.21,168,2,IT
VMJd-6098,Moby Dick,Books,EBook,704.47,106,3,IT
DLAl-3785,Nike T-Shirt,Clothing,T-Shirt,478.27,93,6,IT
aCAT-3934,Samsung Galaxy S21,Electronics,Smartphone,868.41,182,3,IT
rTZd-5307,Puzzle,Toys,Toy,670.96,182,7,
AsUs-5037,Sony WH-1000XM4,Electronics,Hi-tech,636.42,100,6,IT
BSwR-7719,Adidas Sneakers,Clothing,T-Shirt,956.01,135,4,UE
gFcd-9011,Zara Dress,Clothing,T-Shirt,172.03,152,6,UE
uOSO-2603,Nike T-Shirt,Clothing,T-Shirt,973.55,19,3,UE
ScHr-5808,Sony WH-1000XM4,Electronics,TV,152.17,193,3,
bIZX-1934,Hotel Plus,,Table,670.03,139,10,
TEJI-1283,iPhone 13,Electronics,Hi-tech,693.58,58,6,UE
oKDN-5623,Barbie Doll,Toys,Toy,475.49,54,5,
xpjy-6558,Nike T-Shirt,Clothing,T-Shirt,226.95,52,10,IT
wTQS-1785,Sofa Set,Furniture,Chair,481.41,21,5,IT
mYDZ-0691,To Kill a Mockingbird,Books,EBook,932.23,156,5,IT
VcLB-4437,To Kill a Mockingbird,Books,EBook,577.7,168,9,UE
CVZi-6362,Board Game,Toys,Toy,428.48,105,6,IT
Pjid-8127,War and Peace,Books,EBook,225.54,52,4,UE
Tmxd-5901,Board Game,Toys,Toy,497.11,86,10,IT
DUnd-2088,Sofa Set,Furniture,Chair,606.15,193,9,IT
DQMK-7381,H&M Jacket,Clothing,T-Shirt,494.27,167,1,
sKMt-4467,Lego Set,Toys,Toy,470.84,156,7,IT
OTWH-3978,Nike T-Shirt,Clothing,T-Shirt,853.01,124,10,IT
aJpO-1296,Bookshelf,Furniture,Chair,175.57,18,6,IT
VrKY-6162,To Kill a Mockingbird,Books,EBook,630.24,100,9,IT
eIDU-7475,IKEA Table,Furniture,Chair,85.13,166,3,UE
qiRu-7670,The Great Gatsby,Books,EBook,771.62,198,3,IT
afBm-9573,Lego Set,Toys,Toy,230.94,32,1,
NcbZ-1734,Nike T-Shirt,Clothing,T-Shirt,488.23,110,1,UE
fZld-8928,Others Lite,,Smartphone,702.04,88,2,IT
INMW-5184,To Kill a Mockingbird,Books,EBook,135.53,80,1,IT
JURQ-2020,Samsung Galaxy S21,Electronics,TV,588.79,181,9,IT
fuds-1864,If Plus,,Chair,201.77,97,7,IT
bhcH-5689,IKEA Chair,Furniture,Table,231.65,121,10,IT
BzEN-1675,IKEA Table,Furniture,Table,924.86,78,3,IT
yVpc-6692,Nike T-Shirt,Clothing,Jacket,247.2,40,7,IT
NAlQ-8216,The Great Gatsby,Books,EBook,210.53,103,6,
NPtO-1977,War and Peace,Books,EBook,169.06,59,1,IT
EGwX-9793,The Great Gatsby,Books,EBook,830.44,36,10,IT
ASBp-1468,Nike T-Shirt,Clothing,Jacket,858.87,96,1,IT
LNZd-7493,Sony WH-1000XM4,Electronics,Smartphone,698.94,64,10,IT
peAT-7854,H&M Jacket,Clothing,Jacket,417.51,70,3,IT
qJUX-5465,iPhone 13,Electronics,TV,637.42,76,6,IT
bBGX-5619,Puzzle,Toys,Toy,945.85,91,5,IT
ODub-0380,1984,Books,EBook,929.38,55,4,IT
iRCO-6315,Nike T-Shirt,Clothing,Jacket,611.07,29,3,IT
AZGK-7874,Nike T-Shirt,Clothing,Jacket,640.28,138,1,IT
GPZv-4778,Hot Wheels,Toys,Toy,442.65,178,5,
jlEh-4408,The Great Gatsby,Books,EBook,448.24,23,1,IT
tkyP-7880,Bookshelf,Furniture,Table,168.42,196,5,UE
lMPA-8666,Board Game,Toys,Toy,877.43,183,10,
udAs-3358,Zara Dress,Clothing,Jacket,540.8,38,4,IT
